id,day_per_day_without_external,dynamic_without_external,dynamic_with_weather,day_per_day_with_weather,dynamic_with_promotion,day_per_day_with_promotion
154,45.56050594,46.08794964,45.22375654,44.90111327,25.42240272,25.29148047
156,12.70490631,10.15653729,11.83345491,10.03070686,3.579675805,2.56445101
157,29.62590015,30.46559263,28.95531692,28.78465721,15.83967604,15.59918153
158,54.98548381,55.60079169,,,36.63287397,36.60408883
159,76.10728086,77.02542992,,,,
160,21.44322968,22.03937832,20.98152419,20.75078846,,
161,15.86589351,16.26750415,,,,
162,14.21915002,14.91984204,,,,
163,58.358184,59.22518278,57.47550098,57.1570842,,
164,17.41313268,17.67916848,,,,
175,86.10092782,86.9741489,,,66.44176104,66.04534262
176,34.60188557,34.64022468,,,20.61793457,20.53137657
177,37.13750547,37.83924009,,,19.67066181,19.61289594
178,96.00261386,96.82752973,,,,
182,319.0575167,319.4890736,,,,
183,1880.799546,1881.115088,,,1862.384241,1862.212439
184,21782.64549,21782.91213,,,21766.34726,21765.9578
185,10726.73672,10727.14624,,,10707.58453,10707.37742
186,64.83520148,65.70764496,,,46.79121545,46.69498252
189,31.7652884,32.21308313,,,13.64780454,13.49875681
190,57.20833692,57.7170979,,,36.47164504,36.32255607
191,24.74942482,5.938573912,,,7.772375533,6.652709786
192,44.8461527,44.95702216,,,27.02632847,27.01100527
193,17.47197251,17.95685097,,,7.56745076,7.352224851
194,15.44888546,15.50969959,,,5.425792479,5.03266774
195,17.76991723,18.43529469,,,7.718569365,7.369480613
196,22.96667424,23.20478119,,,11.79615503,11.60771007
197,54.60209916,18.71868494,,,54.60209916,53.84423557
198,43.27924369,44.22902576,,,22.93853296,22.83465322
199,10.71123578,11.17207837,10.1741432,10.07116336,8.833271218,8.503497712
200,5.948328054,6.817037737,5.112413861,4.819180417,4.624611226,4.244974316
201,36.59431961,36.91753066,,,21.65077604,21.56229966
202,21.17808896,21.85122542,,,7.189314215,6.975131882
203,15.0800914,15.74848528,,,6.406713619,6.133013826
204,43.76671837,44.3241049,,,26.69035637,26.60449121
205,14.43016952,4.503085041,,,5.11374297,3.979614696
206,9.121647767,9.16925449,,,7.019265136,6.901945674
207,17.00190228,17.61431696,,,9.328881641,9.073881163
208,35.78387172,36.68403486,,,17.85470364,17.48777503
212,44.29466539,44.87027041,,,28.28572765,28.2118658
213,21.17169173,21.91262314,,,6.014894058,5.753381834
214,44.41034591,45.23762829,,,28.01223919,27.78751006
215,40.97952164,15.39062425,,,,
217,13.99142017,19.62624412,,,,
220,10.76679742,6.366865672,,,4.459083467,3.684214978
221,14.78954943,10.84817828,,,,
223,31.02367002,31.88916973,,,,
224,30.96839985,31.69793718,,,,
225,29.43782634,29.8503357,,,,
226,52.86465883,53.55512097,,,,
227,71.22883753,71.33747892,,,,
228,103.2576591,103.8489056,,,,
229,43.59274253,22.90293748,,,,
231,37.54619168,37.70241807,,,21.92814571,21.5415414
232,1714.296745,1714.609052,,,1694.619872,1694.506486
233,1379.044129,1379.673482,,,1360.049607,1359.949186
234,35.68782693,36.28350065,,,21.74263657,21.50110446
235,1586.308574,1587.301201,,,1570.304915,1570.025334
236,34.72856664,35.33548301,,,17.84093066,17.66788946
237,32.94149212,33.66545101,,,17.14143405,17.11424171
238,20.2676175,20.5339121,,,10.68985614,10.62763899
239,2975.523133,2976.315479,,,2956.688601,2956.609372
240,2745.885441,2746.264693,,,2726.05915,2725.969705
242,11977.49933,11977.9893,,,11957.82602,11957.47388
243,35.01137124,35.92239569,34.54919012,34.16630199,16.63218231,16.6144902
244,1793.657765,1794.301945,,,1778.039446,1777.89786
246,56.07028371,56.70597325,,,38.10009071,37.9575298
247,1171.429238,1171.491764,,,1155.688856,1155.535631
