Id,dynamic_without_external,day_per_day_without_external,dynamic_with_weather,day_per_day_with_weather,dynamic_with_promotion,day_per_day_with_promotion
154,43.76343604,43.26297839,42.73918823,42.40313366,27.22958839,27.14182819
156,21.10068773,20.64032753,20.42199631,20.31150274,7.285678196,7.175869349
157,28.08619771,28.04700769,27.80847657,27.66155903,14.19139136,13.83978533
158,36.91234157,36.7152406,,,21.88760338,21.56376544
159,91.5493496,91.6410712,,,,
160,36.55057483,36.50096639,35.86646143,35.5156029,,
161,12.54676454,11.88987322,,,,
162,17.88467958,17.12189044,,,,
163,38.9870124,38.49852362,38.05338207,37.74817062,,
164,28.21591726,27.9549475,,,,
175,82.91634242,81.99536909,,,62.56643074,62.18854594
176,33.01815721,32.57097211,,,17.65221284,17.49247285
177,61.57408774,60.80453957,,,42.99819299,42.82817469
178,87.6590647,87.20493411,,,,
182,91.3433597,91.8289392,,,,
183,22.77242597,22.58847548,,,7.274638172,6.99294995
184,39.41523446,38.42023609,,,19.84577409,19.54934887
185,29.33773802,28.72928527,,,16.38225355,16.0580051
186,32.76439947,32.68147979,,,14.08735041,13.92515154
189,32.13003517,31.64171917,,,15.87016834,15.74909059
190,52.38928918,51.39368239,,,35.1581865,34.97404167
191,24.81237953,24.71322786,,,12.83463088,12.53265588
192,35.3793624,35.26085381,,,20.08335019,19.76348508
193,14.91091029,14.06994967,,,8.000880492,7.742800498
194,17.71014891,16.91215343,,,8.74052042,8.676270081
195,15.3922488,15.32054803,,,8.651685142,8.61308045
196,28.59585302,27.76663478,,,14.74560555,14.51336239
197,35.86546,35.14368,,,18.53257,17.75432
198,26.42212163,26.11379689,,,14.48124946,14.25267695
199,14.62216521,13.70976179,13.10219338,13.05971788,5.52430307,5.151765998
200,5.936864203,5.785956779,4.838125187,4.831045561,4.695158687,4.385412911
201,43.6339367,42.81122953,,,26.28425615,26.14462097
202,6.514972698,6.476708343,,,3.609176745,3.433471711
203,22.05322701,21.8286419,,,10.96903058,10.85748292
